NAVN,POSITION,KLUB,PLAYER_WYID,PLAYER_OPTAUUID,COMPETITION_WYID,COMPETITION_OPTAUUID
Abdihafed Katun Ibrahim,Midfielder,IF Lyseng,877220,,43319,
Abdou Aziz Ndiaye,Midfielder,FC Midtjylland,1150951,,335,29actv1ohj8r10kd9hu0jnb0n
Abdoulaye Camara,Forward,Vejle Boldklub,1210116,8w7eh1ukicd4p0vp7kqqrzu38,1305,
Abdoulaye Gouba,Midfielder,Horsens,930661,,328,dyjr458hcmrcy87fsabfsy87o
Abdoulie Njai,Midfielder,FC Helsingør,576657,f1ba9g771s0zeel0titcj3omi,328,dyjr458hcmrcy87fsabfsy87o
Abdul Lamin Daramy,Forward,FC København Under 19,769020,,1305,
Abdul Hakim Sulemana,Forward,Hillerød,620381,,328,dyjr458hcmrcy87fsabfsy87o
Abdul Malik Abubakari,Forward,Lyngby,625251,39f0bq9uk4etkf75uzu6qyrmy,328,dyjr458hcmrcy87fsabfsy87o
Abdul Moro,Midfielder,Horsens,1100439,eh5vcpzxaze0ru5xdi1wbhoq2,1305,
Abdul Samad Shahzad Arshad,Forward,Kolding,577577,,43319,
Abdullah Aslani,Midfielder,Lyngby Boldklub Under 19,766792,,1305,
Adam Ahmad,Forward,B 93,659984,4csz412vb3lquessbnf999ct0,328,dyjr458hcmrcy87fsabfsy87o
Adam Amrani,Defender,Odense BK Under 19,797277,6tym2hab6olisnu40l5rkfx90,1305,
Adam Andersson,Defender,AaB,252417,dsn7m5pm574argz1d7ofgjmj9,335,29actv1ohj8r10kd9hu0jnb0n
Adam Buksa,Forward,FC Midtjylland,316325,6760elhmf9cc26ec5p1wnwonuxf4l,335,29actv1ohj8r10kd9hu0jnb0n
Adam Choukri,Forward,B.93 U17/U19,256137,666295lr1hjzvi393qbkv9myxoi51w,328,dyjr458hcmrcy87fsabfsy87o
Adam Danko,Goalkeeper,Kolding,632999,1lxsyoos06fqbsi6skcm974a2,328,dyjr458hcmrcy87fsabfsy87o
Adam Ejler Hansen,Defender,Holbæk Bold - & Idrætsforening,621840,e0rgqk3gxzs005m9ok9hvp1ck,43319,
Adam Fuglsang,Midfielder,AGF Under 19,769093,e8ncg8zfaq9njkv7owyqh9yzu,1305,
Adam Gabriel,Defender,FC Midtjylland,668034,bidudbkachfl6126lhlr254wk,335,29actv1ohj8r10kd9hu0jnb0n
Adam Herdonsson,Defender,Horsens,615955,9dh7cnu4uzbraeck0t5iqlj4k,328,dyjr458hcmrcy87fsabfsy87o
Adam Ingi Benediktsson,Goalkeeper,Akademisk Boldklub,599989,,329,
Adam Kleis-Kristoffersen,Forward,Lyngby/HIK,795399,321322pbwkka0p76s6mh0yaoyvrdw4,335,29actv1ohj8r10kd9hu0jnb0n
Adam Larsson,Forward,B.93,479357,0652aahyom322jdc6f21960ycuzth,328,dyjr458hcmrcy87fsabfsy87o
Adam Nygaard Andersen,Defender,FC Fredericia,624703,xd4gm9uiq807dri1gs3ltclw,335,29actv1ohj8r10kd9hu0jnb0n
Adam Sørensen,Defender,OB,449761,ewh6t7yo6clfewu89uznll9uc,335,29actv1ohj8r10kd9hu0jnb0n
Adam Vendelbo Clement,Forward,Vendsyssel FF,579353,,1305,
Adam Wikman,Midfielder,Silkeborg IF,733745,,335,29actv1ohj8r10kd9hu0jnb0n
Adrian Kappenberger,Goalkeeper,Hillerød,511743,8mswl5vzza12hylodrrsq3zvu,328,dyjr458hcmrcy87fsabfsy87o
Adrian Rúnason Justinussen,Forward,Horsens,338129,,328,dyjr458hcmrcy87fsabfsy87o
Adrien Koudelka,Defender,Akademisk Boldklub,500014,,329,
Agon Muçolli,Forward,FC Fredericia,347369,8e6zj6d817geh9g8f94ig99m1,1305,
Ahmed Daghim,Midfielder,B 93,449782,6otr0cifkk9jbmxc2ew2spka,328,dyjr458hcmrcy87fsabfsy87o
Ahmed Hassan,Forward,Holbæk Bold - & Idrætsforening,424422,en3g297ppcr1ae679nk6gp9lh,43319,
Ahmed Iljazovski,Defender,Hvidovre,483429,bfvdr7ckiersz26ya2kq9f1g4,335,29actv1ohj8r10kd9hu0jnb0n
Ahmed Khalid Belal,Midfielder,Vejgaard Boldspilklub,131000,,443319,
Ahmed Mouhoub,Midfielder,FC København Under 19,118233,,1305,
Aiham Al Nasser,Midfielder,Ishøj IF,822394,,443319,
Aksel Emil Halsgaard,Defender,Næstved BK,624735,em0yawcqyqwf53hbj0zlz4duc,329,
Aksel Jørgensen,Midfielder,OB/AGF U19,756668,6537vrzye4jqrafujmjw3wakjpxw,1305,
Aksel Lund Jørgensen,Midfielder,Esbjerg fB Under 19,750795,,1305,
Aksel Mutahi Bischoff,Defender,Næstved/Køge,684961,106066,329,
Alagie Saine,Defender,Horsens,729780,7353ysa16qgg30b9z5qiagys4,335,29actv1ohj8r10kd9hu0jnb0n
Alamara Viriato Djabi,Midfielder,FC Midtjylland,817954,,1305,
Alan Jahic,Midfielder,Vanløse IF,1002532,,43319,
Alan Sediq Mohammad,Forward,Lyseng U19,707487,516473i2odn2pxmbx5w0o269baisd0,43319,
Albert Lodberg Oppenhagen,Defender,FC Midtjylland Under 19,678057,,1305,
Albert Riis,Midfielder,FC Midtjylland Under 17,1191329,ejlaev7fw1ha8sa2y4rso9wr8,1305,
Albert Brøgger,Midfielder,AC Amager Academy Under 19,1189320,,43319,
Albert Gaub-Jakobsen,Goalkeeper,Næstved BK,679442,6yg08m7b3m2mglehqtrnt2qc,329,
Albert Heyde,Midfielder,Hobro,679227,8aawjsdwpfdzqhtj8jjyz8hlg,328,dyjr458hcmrcy87fsabfsy87o
Albert Nørager,Defender,Kolding,450069,8ewvm6ux4yvpwgrzjkc1chqwa,329,
Albert Rrahmani,Forward,SønderjyskE,962525,d4emkl168o7w0fy7shqdp6t5g1,1305,
Albert Thorsø Graversen,Goalkeeper,Aalborg BK Under 19,841165,,1305,
Albert Yaz Ates,Midfielder,Randers FC Under 19,847879,,1305,
Alberto Velasquez,Midfielder,FC Midtjylland Under 19,924036,,1305,
Alberto Vogtmann,Defender,Hobro,749767,95816in4qqej6re7ruokm2spdpr10,335,29actv1ohj8r10kd9hu0jnb0n
Alessio Alicino,Midfielder,Hellerup IK,449083,7l7f98nn8gohmdacsdb2labkk,328,dyjr458hcmrcy87fsabfsy87o
Alex Daler Khalil,Defender,Brabrand IF,779734,,43319,
Alex Lindström,Defender,BK Frem 1886,679421,,43319,
Alexander Havkrog Haumand,Midfielder,Frederiksberg Alliancen 2000,769017,,43319,
Alexander Bejer-Andersen,Goalkeeper,HB Køge Under 19,769184,,1305,
Alexander Drexel,Goalkeeper,Esbjerg fB Under 19,768987,,1305,
Alexander Aamann,Midfielder,Sundby BK,1187129,,43319,
Alexander Abrahamsson,Defender,Vanløse IF,1327151,,43319,
Alexander Ammitzbøll,Forward,Esbjerg,520760,8xim1ji9vq8lwkgkg10du2zje,328,dyjr458hcmrcy87fsabfsy87o
Alexander Edvardsen Hvid,Forward,Hørsholm-Usserød IK,821046,,43319,
Alexander Hasmark Jensen,Goalkeeper,FC Roskilde,511343,eps93ehgmx8ft3kjo4zvy63o4,335,29actv1ohj8r10kd9hu0jnb0n
Alexander Illum Simmelhack,Midfielder,Silkeborg IF,632597,,335,29actv1ohj8r10kd9hu0jnb0n
Alexander Johansen,Defender,Hvidovre,764636,dz8s1baxo3lpznfol2rlfdmhg,328,dyjr458hcmrcy87fsabfsy87o
Alexander Jolin,Forward,Ishøj IF,1307872,,329,
Alexander Kert Molberg,Defender,Næsby BK,540613,,43319,
Alexander Kieffer,Defender,Hørsholm-Usserød IK,523533,,335,29actv1ohj8r10kd9hu0jnb0n
Alexander Knaack,Forward,Holbæk Bold - & Idrætsforening,680584,1d1ln8gsjfbquiwksfc8cq4no,43319,
Alexander Lien Håpnes,Midfielder,AaB,750363,5y2mfgruizah0ylcz7q1abw9g,328,dyjr458hcmrcy87fsabfsy87o
Alexander Lind Rasmussen,Forward,FC Nordsjælland,523107,,328,dyjr458hcmrcy87fsabfsy87o
Alexander Ludwig,Defender,Horsens,191024,61vr9xr91fr4g6ayzga5vn9w5,335,29actv1ohj8r10kd9hu0jnb0n
Alexander Lyng,Midfielder,SønderjyskE,622042,lioz4hr2umpne2bwar18qa96,335,29actv1ohj8r10kd9hu0jnb0n
Alexander Magnus Busch,Defender,Silkeborg IF,577998,,335,29actv1ohj8r10kd9hu0jnb0n
Alexander Máni Guðjónsson,Forward,FC Midtjylland Under 17,1016697,,1305,
Alexander Nathan,Midfielder,Hobro,814415,beu3ypladd5dexnm9x946kjkk,328,dyjr458hcmrcy87fsabfsy87o
Alexander Odefalk,Midfielder,FC København Under 19,1026833,,1305,
Alexander Petræus,Forward,BK Fremad Amager,514802,2ouz465owl5n7x7aa29rb3i8k,335,29actv1ohj8r10kd9hu0jnb0n
Alexander Priesborg Madsen,Defender,Silkeborg IF,624791,,1305,
Alexandre Magalhães Marques,Defender,Holbæk Bold - & Idrætsforening,1012813,,43319,
Alexi Pitu,Forward,Vejle Boldklub,545274,f5idhghs2f6otps9n9jxzp9be,335,29actv1ohj8r10kd9hu0jnb0n
Alfa Kotanga Muloko,Midfielder,IF Lyseng,1175618,,43319,
Alfred Gøthler,Forward,HB Køge,901665,d2ukggo2v5jsw4pctznmaijo4,328,dyjr458hcmrcy87fsabfsy87o
Alfred Kragh,Goalkeeper,Under 15/17,668701,029944,1305,
Alfred Horup,Midfielder,Akademisk Boldklub,766719,,329,
Alfred Nymark Bruun,Goalkeeper,FC København Under 19,765131,,1305,
Alfred Yding Lindquist,Midfielder,Brabrand IF,1107862,,43319,
Ali Al-Najar,Midfielder,Brøndby U19,23734,769198,1305,
Ali Al-Mosawe,Midfielder,Hellerup IK,611780,,328,dyjr458hcmrcy87fsabfsy87o
Ali Haider Shah,Midfielder,Hellerup IK,604332,,329,
Ali Riad,Forward,Fremad Amager U19,271419,59674,1305,
Ali Sheik Ali,Midfielder,Kolding IF Under 19,745649,oh5nt783w2dfdwzo7ap5zg9g,328,dyjr458hcmrcy87fsabfsy87o
Alwasi Dwomfour Owusu,Midfielder,Vendsyssel FF,684699,e42jh6bbwn4aybdnysonrvutx,1305,
Amar Diagne,Forward,AaB,679420,ezi8426ran0bffeyfvloc2ihg,335,29actv1ohj8r10kd9hu0jnb0n
Amar Hadzajlija,Forward,AaB U19,27142,981587,1305,
Amin Al Hamawi,Forward,Randers FC,808834,2iwpx1vz8t3boh0aauel1bok4,335,29actv1ohj8r10kd9hu0jnb0n
Amin Amhamdi,Forward,BK Frem 1886,643094,,43319,
Amin Chiakha,Forward,FC København,709167,9429823p7p1amx8lp445bo6bi01lg,1305,
Amin Peyman,Midfielder,Lyngby Boldklub Under 19,766794,,1305,
Amini Mario Vladimir,Defender,FC Midtjylland Under 19,1164663,,1305,
Anas Al-Hummadi,Forward,Hørsholm-Usserød IK,1215293,,43319,
Anas Raheel Muhammad,Forward,Næstved BK,760099,660951j48dmn5tafd2gp4rjmjlbm6s,1305,
Anders Bak Holvad,Forward,Aarhus Fremad,56086,f5do9kh6590dwx2732iak0edx,328,dyjr458hcmrcy87fsabfsy87o
Anders Bergholt Pedersen,Midfielder,SønderjyskE,624824,,43319,
Anders Dahl,Midfielder,FC Fredericia,523101,f3h1bxnw3fq8m10ck132bic4p,328,dyjr458hcmrcy87fsabfsy87o
Anders Faester Jensen,Forward,Skive IK,449524,,328,dyjr458hcmrcy87fsabfsy87o
Anders Johann Georg Tønnesen,Goalkeeper,Hørsholm-Usserød IK,924691,,43319,
Anders Kvindebjerg Jacobsen,Forward,Vejle Boldklub,57114,apnkoe9xl3fbnxbj2zx1horh0,328,dyjr458hcmrcy87fsabfsy87o
Anders Lykke Nielsen,Defender,Vanløse IF,1312002,mp4e2knxubc5sncgd6p4j4lw,43319,
Anders Noshe,Forward,AaB,644794,3c7oy1stwyquawdfzzom13xn8,1305,
Anders Nørbo Hoff Nielsen,Goalkeeper,Horsens,580507,,329,
Anders Raffnsøe Hoeg,Midfielder,SønderjyskE,680209,,335,29actv1ohj8r10kd9hu0jnb0n
Anders Ravn Olsen,Goalkeeper,Hvidovre,680719,,328,dyjr458hcmrcy87fsabfsy87o
Anders Skjødt Sønderby,Defender,Vejgaard Boldspilklub,449494,bhcx6eefe79v1anvvhsed910q,328,dyjr458hcmrcy87fsabfsy87o
Anders Sønderskov,Defender,Esbjerg,638043,ajk0mbprro09pccglih9y740k,1305,
Andrass Johansen,Midfielder,BK Fremad Amager,538578,dz8s1baxo3lpznfol2rlfdmhg,329,
Andreas Bahne,Defender,Næsby BK U19,897263,,43319,
Andreas Maarup Hansen,Midfielder,AaB,684432,,43319,
Andreas Rise Kristiansen,Midfielder,Vendsyssel FF,1069758,9vbxe5gvruap8h546efz3nx1w,329,
Andreas Søndenbroe,Goalkeeper,Næstved U19,7475,769262,1305,
Andreas Bjørslev Knak,Defender,Skive IK,760962,,329,
Andreas Bredahl Pedersen,Forward,BK Fremad Amager,549469,,335,29actv1ohj8r10kd9hu0jnb0n
Andreas Bruus,Defender,Horsens,399566,dj2f6zk2cd8u9lt6odoei9cdl,328,dyjr458hcmrcy87fsabfsy87o
Andreas Cornelius,Forward,FC København,135150,8gdfn7j6xac9p4jh94hk40jdg,335,29actv1ohj8r10kd9hu0jnb0n
Andreas Frederik Dithmer,Goalkeeper,Hillerød,624732,ekbi29eljngvxgx9scbzwygwk,1305,
Andreas Grand Riiser,Forward,Hobro IK Under 19,766605,,1305,
Andreas Grandahl Hougaard,Goalkeeper,Lyngby Res.,27152,862055,1305,
Andreas Gülstorff Pedersen,Goalkeeper,FC Nordsjælland,562225,,335,29actv1ohj8r10kd9hu0jnb0n
Andreas Hansen,Goalkeeper,FC Nordsjælland,224154,e0rgqk3gxzs005m9ok9hvp1ck,328,dyjr458hcmrcy87fsabfsy87o
